'Date', 'todayprice', 'num_securities', 'Cash', 'Stockworth', 'Totalworth', 'Baseline Comparison'
'8/24/2012', 141.509995, 71.0, 117.50985800000126, 10047.209645, 10164.719503000002, -7039.755096249375
'8/27/2012', 141.539993, 71.0, 117.50985800000126, 10049.339503000001, 10166.849361000002, -7037.625238249375
'8/28/2012', 141.399994, 71.0, 117.50985800000126, 10039.399574, 10156.909432, -7047.565167249377
'8/29/2012', 141.509995, 71.0, 117.50985800000126, 10047.209645, 10164.719503000002, -7039.755096249375
'8/30/2012', 140.490005, 71.0, 117.50985800000126, 9974.790355, 10092.300213, -7112.174386249377
'8/31/2012', 141.160004, 71.0, 117.50985800000126, 10022.360283999999, 10139.870142, -7064.604457249377
'9/4/2012', 141.029999, 71.0, 117.50985800000126, 10013.129929, 10130.639787000002, -7073.834812249375
'9/5/2012', 140.910004, 71.0, 117.50985800000126, 10004.610283999999, 10122.120142, -7082.354457249377
'9/6/2012', 143.770004, 71.0, 117.50985800000126, 10207.670284, 10325.180142000001, -6879.294457249376
'9/7/2012', 144.330002, 71.0, 117.50985800000126, 10247.430142000001, 10364.940000000002, -6839.534599249375
'9/10/2012', 143.509995, 71.0, 117.50985800000126, 10189.209645, 10306.719503000002, -6897.755096249375
'9/11/2012', 143.910004, 71.0, 117.50985800000126, 10217.610283999999, 10335.120142, -6869.354457249377
'9/12/2012', 144.389999, 71.0, 117.50985800000126, 10251.689929, 10369.199787000001, -6835.274812249376
'9/13/2012', 146.589996, 71.0, 117.50985800000126, 10407.889716000001, 10525.399574000003, -6679.075025249374
'9/14/2012', 147.240005, 71.0, 117.50985800000126, 10454.040355, 10571.550213, -6632.924386249377
'9/17/2012', 146.740005, 71.0, 117.50985800000126, 10418.540355, 10536.050213, -6668.424386249377
'9/18/2012', 146.619995, 71.0, 117.50985800000126, 10410.019644999998, 10527.529503, -6676.9450962493775
'9/19/2012', 146.699997, 71.0, 117.50985800000126, 10415.699787, 10533.209645, -6671.264954249376
'9/20/2012', 146.710007, 71.0, 117.50985800000126, 10416.410496999999, 10533.920355, -6670.554244249377
'9/21/2012', 145.869995, 71.0, 117.50985800000126, 10356.769644999998, 10474.279503, -6730.1950962493775
'9/24/2012', 145.649994, 71.0, 117.50985800000126, 10341.149574, 10458.659432, -6745.815167249377
'9/25/2012', 144.100006, 71.0, 117.50985800000126, 10231.100426, 10348.610284000002, -6855.864315249375
