'Date', 'todayprice', 'num_securities', 'Cash', 'Stockworth', 'Totalworth', 'Baseline Comparison'
'8/10/2000', 146.718704, 70.0, 64.375, 10270.30928, 10334.68428, -5879.841340971208
'8/11/2000', 147.406204, 70.0, 64.375, 10318.43428, 10382.80928, -5831.716340971208
'8/14/2000', 149.281204, 70.0, 64.375, 10449.68428, 10514.05928, -5700.466340971208
'8/15/2000', 149.156204, 70.0, 64.375, 10440.93428, 10505.30928, -5709.216340971208
'8/16/2000', 148.625, 70.0, 64.375, 10403.75, 10468.125, -5746.400620971208
'8/17/2000', 150.1875, 70.0, 64.375, 10513.125, 10577.5, -5637.025620971208
'8/18/2000', 149.6875, 70.0, 64.375, 10478.125, 10542.5, -5672.025620971208
'8/21/2000', 150.5, 70.0, 64.375, 10535.0, 10599.375, -5615.150620971208
'8/22/2000', 150.25, 70.0, 64.375, 10517.5, 10581.875, -5632.650620971208
'8/23/2000', 150.843704, 70.0, 64.375, 10559.05928, 10623.43428, -5591.091340971208
'8/24/2000', 151.3125, 70.0, 64.375, 10591.875, 10656.25, -5558.275620971208
'8/25/2000', 151.25, 70.0, 64.375, 10587.5, 10651.875, -5562.650620971208
'8/28/2000', 151.765594, 70.0, 64.375, 10623.59158, 10687.96658, -5526.559040971208
'8/29/2000', 151.796799, 70.0, 64.375, 10625.77593, 10690.15093, -5524.374690971208
'8/30/2000', 150.343704, 70.0, 64.375, 10524.05928, 10588.43428, -5626.091340971208
'8/31/2000', 152.343704, 70.0, 64.375, 10664.05928, 10728.43428, -5486.091340971208
'9/1/2000', 152.5, 70.0, 64.375, 10675.0, 10739.375, -5475.150620971208
'9/5/2000', 151.281204, 70.0, 64.375, 10589.68428, 10654.05928, -5560.466340971208
'9/6/2000', 149.5625, 70.0, 64.375, 10469.375, 10533.75, -5680.775620971208
'9/7/2000', 150.843704, 70.0, 64.375, 10559.05928, 10623.43428, -5591.091340971208
'9/8/2000', 149.8125, 70.0, 64.375, 10486.875, 10551.25, -5663.275620971208
'9/11/2000', 149.593704, 70.0, 64.375, 10471.55928, 10535.93428, -5678.591340971208
'9/12/2000', 148.5, 70.0, 64.375, 10395.0, 10459.375, -5755.150620971208
'9/13/2000', 148.890594, 70.0, 64.375, 10422.34158, 10486.71658, -5727.809040971208
'9/14/2000', 149.640594, 70.0, 64.375, 10474.84158, 10539.21658, -5675.309040971208
'9/15/2000', 146.0, 70.0, 64.375, 10220.0, 10284.375, -5930.150620971208
'9/18/2000', 144.656204, 70.0, 64.375, 10125.93428, 10190.30928, -6024.216340971208
'9/19/2000', 145.968704, 70.0, 64.375, 10217.80928, 10282.18428, -5932.341340971208
'9/20/2000', 144.890594, 70.0, 64.375, 10142.34158, 10206.71658, -6007.809040971208
'9/21/2000', 142.6875, 70.0, 64.375, 9988.125, 10052.5, -6162.025620971208
'9/22/2000', 145.281204, 70.0, 64.375, 10169.68428, 10234.05928, -5980.466340971208
'9/25/2000', 144.25, 70.0, 64.375, 10097.5, 10161.875, -6052.650620971208
'9/26/2000', 142.406204, 70.0, 64.375, 9968.43428, 10032.80928, -6181.716340971208
'9/27/2000', 143.156204, 70.0, 64.375, 10020.93428, 10085.30928, -6129.216340971208
'9/28/2000', 145.0, 70.0, 64.375, 10150.0, 10214.375, -6000.150620971208
'9/29/2000', 143.625, 70.0, 64.375, 10053.75, 10118.125, -6096.400620971208
