'Date', 'todayprice', 'num_securities', 'Cash', 'Stockworth', 'Totalworth', 'Baseline Comparison'
'6/1/2000', 49.499996, 196.0, 40.75, 9701.999216, 9742.749216, 7688.333941536993
'6/2/2000', 48.375, 196.0, 40.75, 9481.5, 9522.25, 7467.834725536993
'6/5/2000', 50.875, 196.0, 40.75, 9971.5, 10012.25, 7957.834725536993
'6/6/2000', 49.999996, 196.0, 40.75, 9799.999216, 9840.749216, 7786.333941536993
'6/7/2000', 49.4375, 196.0, 40.75, 9689.75, 9730.5, 7676.084725536993
'6/8/2000', 48.999996, 196.0, 40.75, 9603.999216, 9644.749216, 7590.333941536993
'6/9/2000', 49.874996, 196.0, 40.75, 9775.499216, 9816.249216, 7761.833941536993
'6/12/2000', 50.125, 196.0, 40.75, 9824.5, 9865.25, 7810.834725536993
'6/13/2000', 49.9375, 196.0, 40.75, 9787.75, 9828.5, 7774.084725536993
'6/14/2000', 48.25, 196.0, 40.75, 9457.0, 9497.75, 7443.334725536993
'6/15/2000', 46.0, 196.0, 40.75, 9016.0, 9056.75, 7002.334725536993
'6/16/2000', 45.0, 196.0, 40.75, 8820.0, 8860.75, 6806.334725536993
'6/19/2000', 44.624996, 196.0, 40.75, 8746.499216, 8787.249216, 6732.833941536993
'6/20/2000', 42.999996, 196.0, 40.75, 8427.999216, 8468.749216, 6414.333941536993
'6/21/2000', 43.687496, 196.0, 40.75, 8562.749216, 8603.499216, 6549.083941536993
'6/22/2000', 43.687496, 196.0, 40.75, 8562.749216, 8603.499216, 6549.083941536993
'6/23/2000', 44.4375, 196.0, 40.75, 8709.75, 8750.5, 6696.084725536993
'6/26/2000', 42.875, 196.0, 40.75, 8403.5, 8444.25, 6389.834725536993
'6/27/2000', 42.875, 196.0, 40.75, 8403.5, 8444.25, 6389.834725536993
'6/28/2000', 44.0, 196.0, 40.75, 8624.0, 8664.75, 6610.334725536993
'6/29/2000', 43.25, 196.0, 40.75, 8477.0, 8517.75, 6463.334725536993
'6/30/2000', 43.0, 196.0, 40.75, 8428.0, 8468.75, 6414.334725536993
'7/3/2000', 43.937504, 196.0, 40.75, 8611.750784, 8652.500784, 6598.0855095369925
'7/5/2000', 44.8125, 196.0, 40.75, 8783.25, 8824.0, 6769.584725536993
'7/6/2000', 46.3125, 196.0, 40.75, 9077.25, 9118.0, 7063.584725536993
'7/7/2000', 46.25, 196.0, 40.75, 9065.0, 9105.75, 7051.334725536993
'7/10/2000', 46.75, 196.0, 40.75, 9163.0, 9203.75, 7149.334725536993
'7/11/2000', 47.8125, 196.0, 40.75, 9371.25, 9412.0, 7357.584725536993
'7/12/2000', 48.3125, 196.0, 40.75, 9469.25, 9510.0, 7455.584725536993
