Date,Open,High,Low,Close,Volume,Adj Close
11/21/2016,13.27,13.44,12.16,12.42,0,12.42
11/18/2016,13.56,13.74,12.85,12.85,0,12.85
11/17/2016,13.37,13.55,12.97,13.35,0,13.35
11/16/2016,13.51,14.49,13.51,13.72,0,13.72
11/15/2016,14.16,14.65,13.3,13.37,0,13.37
11/14/2016,14.69,15.56,14.39,14.48,0,14.48
11/11/2016,14.83,16,14.15,14.17,0,14.17
11/10/2016,14.01,16.299999,13.26,14.74,0,14.74
11/9/2016,20.700001,21.48,14.33,14.38,0,14.38
11/8/2016,18.92,19.91,17.700001,18.74,0,18.74
11/7/2016,19.780001,19.860001,18.389999,18.709999,0,18.709999
11/4/2016,21.860001,23.01,19.200001,22.51,0,22.51
11/3/2016,19.85,22.57,18.84,22.08,0,22.08
11/2/2016,19.09,19.82,18.559999,19.32,0,19.32
11/1/2016,16.540001,20.43,16.51,18.559999,0,18.559999
10/31/2016,16.309999,17.629999,16.25,17.059999,0,17.059999
10/28/2016,15.67,17.35,14.65,16.190001,0,16.190001
10/27/2016,14.37,15.43,13.6,15.36,0,15.36
10/26/2016,13.66,14.8,13.66,14.24,0,14.24
10/25/2016,12.91,13.86,12.73,13.46,0,13.46
10/24/2016,13.19,13.26,12.83,13.02,0,13.02
10/21/2016,14.04,14.53,13.27,13.34,0,13.34
10/20/2016,14.43,14.72,13.74,13.75,0,13.75
10/19/2016,15.45,15.68,13.87,14.41,0,14.41
10/18/2016,15.82,15.85,15.03,15.28,0,15.28
10/17/2016,17.01,17.110001,16.129999,16.209999,0,16.209999
10/14/2016,16.49,16.5,15.25,16.120001,0,16.120001
10/13/2016,16.879999,17.950001,16.139999,16.690001,0,16.690001
10/12/2016,15.53,16.34,15.26,15.91,0,15.91
10/11/2016,13.71,16.469999,13.69,15.36,0,15.36
10/10/2016,14.19,14.36,13.29,13.38,0,13.38
10/7/2016,13.52,14.15,12.21,13.48,0,13.48
10/6/2016,13.11,13.84,12.8,12.84,0,12.84
10/5/2016,13.56,13.68,12.7,12.99,0,12.99
10/4/2016,13.4,14.57,12.92,13.63,0,13.63
10/3/2016,13.75,14.42,13.42,13.57,0,13.57
9/30/2016,14.91,15.2,12.53,13.29,0,13.29
9/29/2016,12.53,15.69,12.14,14.02,0,14.02
9/28/2016,12.9,13.57,12.24,12.39,0,12.39
9/27/2016,13.36,14.76,12.97,13.1,0,13.1
9/26/2016,13.26,14.63,13.26,14.5,0,14.5
9/23/2016,12,12.58,11.93,12.29,0,12.29
9/22/2016,13.39,13.39,11.76,12.02,0,12.02
9/21/2016,15.07,15.65,12.98,13.3,0,13.3
9/20/2016,14.98,16.09,14.69,15.92,0,15.92
9/19/2016,15.14,15.96,14.6,15.53,0,15.53
9/16/2016,16.41,17.1,15.28,15.37,0,15.37
9/15/2016,17.969999,18.07,15.74,16.299999,0,16.299999
9/14/2016,17.629999,18.139999,16.34,18.139999,0,18.139999
9/13/2016,15.98,18.969999,15.83,17.85,0,17.85
9/12/2016,20.129999,20.51,14.76,15.16,0,15.16
9/9/2016,12.52,17.540001,12.52,17.5,0,17.5
9/8/2016,11.74,12.6,11.65,12.51,0,12.51
9/7/2016,11.89,12.45,11.77,11.94,0,11.94
9/6/2016,12.42,12.93,11.85,12.02,0,12.02
9/2/2016,13.47,13.9,11.9,11.98,0,11.98
9/1/2016,13.07,14.61,12.99,13.48,0,13.48
8/31/2016,13.14,14.34,12.97,13.42,0,13.42
8/30/2016,12.94,13.6,12.7,13.12,0,13.12
8/29/2016,14.09,14.43,12.9,12.94,0,12.94
8/26/2016,13.54,14.93,12.13,13.65,0,13.65
8/25/2016,13.62,14.09,13.29,13.63,0,13.63
8/24/2016,12.7,14.01,12.3,13.45,0,13.45
8/23/2016,12.15,12.44,11.72,12.38,0,12.38
8/22/2016,12.53,13.02,11.94,12.27,0,12.27
8/19/2016,11.67,12.28,11.33,11.34,0,11.34
8/18/2016,12.2,12.53,11.42,11.43,0,11.43
8/17/2016,12.57,13.71,12.14,12.19,0,12.19
8/16/2016,12.04,12.78,11.87,12.64,0,12.64
8/15/2016,11.81,12.17,11.58,11.81,0,11.81
8/12/2016,11.61,12,11.28,11.55,0,11.55
8/11/2016,11.93,12.11,11.38,11.68,0,11.68
8/10/2016,11.55,12.5,11.37,12.05,0,12.05
8/9/2016,11.4,11.92,11.02,11.66,0,11.66
8/8/2016,11.66,11.78,11.41,11.5,0,11.5
8/5/2016,12.08,12.26,11.18,11.39,0,11.39
8/4/2016,12.73,12.98,11.79,12.42,0,12.42
8/3/2016,13.53,13.91,12.73,12.86,0,12.86
8/2/2016,12.39,14.24,12.35,13.37,0,13.37
8/1/2016,11.89,12.98,11.86,12.44,0,12.44
7/29/2016,12.85,12.9,11.77,11.87,0,11.87
7/28/2016,12.51,13.52,12.36,12.72,0,12.72
7/27/2016,12.61,13.74,12.5,12.83,0,12.83
7/26/2016,12.88,13.5,12.8,13.05,0,13.05
7/25/2016,12.64,13.72,12.39,12.87,0,12.87
7/22/2016,12.8,12.88,11.97,12.02,0,12.02
7/21/2016,11.8,13.06,11.69,12.74,0,12.74
7/20/2016,11.94,11.97,11.4,11.77,0,11.77
7/19/2016,12.53,12.83,11.94,11.97,0,11.97
7/18/2016,12.75,13.12,12.33,12.44,0,12.44
7/15/2016,13.12,13.22,12.27,12.67,0,12.67
7/14/2016,12.5,13.37,12.14,12.82,0,12.82
7/13/2016,13.32,13.79,12.92,13.04,0,13.04
7/12/2016,12.93,13.93,12.75,13.55,0,13.55
7/11/2016,13.25,13.67,13,13.54,0,13.54
7/8/2016,14.64,14.75,13.19,13.2,0,13.2
7/7/2016,14.8,15.98,14.33,14.76,0,14.76
7/6/2016,15.87,17.040001,14.96,14.96,0,14.96
7/5/2016,16.049999,16.620001,15.49,15.58,0,15.58
7/1/2016,15.59,15.86,14.61,14.77,0,14.77
6/30/2016,16.91,16.99,15.29,15.63,0,15.63
6/29/2016,18.120001,18.27,16.48,16.639999,0,16.639999
6/28/2016,21.76,22.07,18.75,18.75,0,18.75
6/27/2016,24.379999,26.719999,22.93,23.85,0,23.85
6/24/2016,26.059999,26.24,19.48,25.76,0,25.76
6/23/2016,19.540001,19.790001,17.25,17.25,0,17.25
6/22/2016,18.26,21.219999,17.83,21.17,0,21.17
6/21/2016,17.67,18.959999,16.91,18.48,0,18.48
6/20/2016,17.42,18.549999,16.59,18.370001,0,18.370001
6/17/2016,19.42,20.030001,18.709999,19.41,0,19.41
6/16/2016,20.799999,22.889999,19.24,19.370001,0,19.370001
6/15/2016,20.25,20.450001,18.629999,20.139999,0,20.139999
6/14/2016,21.280001,22.16,20.27,20.5,0,20.5
6/13/2016,18.24,21.01,17.889999,20.969999,0,20.969999
6/10/2016,14.89,17.33,14.85,17.030001,0,17.030001
6/9/2016,14.01,14.85,13.99,14.64,0,14.64
6/8/2016,13.84,14.27,13.7,14.08,0,14.08
6/7/2016,12.77,14.05,12.72,14.05,0,14.05
6/6/2016,13.84,14.27,13.42,13.65,0,13.65
6/3/2016,13.78,14.66,12.9,13.47,0,13.47
6/2/2016,14.42,14.92,13.62,13.63,0,13.63
